internal_row_id,canonical_name,score,city,sector_label,domain_tier,website,normalized_domain,address,google_category,google_maps_url,reviews_count,rating
uae-pilot-0351,Pioneer Engineering Consultants,70,Dubai,Engineering,ae_domain,http://www.pecdubai.ae/,pecdubai.ae,"Office 212 A&B, Al Qaizi building, Salahuddin Street - near Fish Roundabout - Deira - Dubai - United Arab Emirates",Engineering consultant,https://www.google.com/maps/search/?api=1&query=Pioneer%20Engineering%20Consultants&query_place_id=ChIJJxtkg7VcXz4RNzzRaPMYAR8,30,4.2
uae-pilot-0305,Model Engineering Consultants,66,Dubai,Engineering,generic_domain,https://designbymodel.com/,designbymodel.com,Awards Building - Jumeira St - Al Hudaiba - Al Mina - Dubai - United Arab Emirates,Engineer,https://www.google.com/maps/search/?api=1&query=Model%20Engineering%20Consultants&query_place_id=ChIJqa6XwgBDXz4RGgnolKZcWlQ,80,4.7
uae-pilot-0156,Darji Accounting,73,Dubai,Accounting/Audit,ae_domain,http://www.darjiaccounting.ae/,darjiaccounting.ae,The Burjuman Business Tower - Office No. 1835 Level 18 - E11 - Mankhool - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=Darji%20Accounting&query_place_id=ChIJIXSqdSJDXz4Rgu6sxd5ia-4,75,4.9
uae-pilot-0112,Bericht Audit & Advisory,68,Dubai,Accounting/Audit,ae_domain,https://bericht.ae/,bericht.ae,68X2+HF IDS BUILDING - Office 16 - 42 2B St - Al Karama - Dubai - United Arab Emirates,Auditor,https://www.google.com/maps/search/?api=1&query=Bericht%20Audit%20%26%20Advisory&query_place_id=ChIJA-SNdANfXz4RFG8Cg6nOYls,31,5.0
uae-pilot-0230,Hampshire Accountants Dubai,68,Dubai,Accounting/Audit,ae_domain,http://www.hampshire.ae/,hampshire.ae,"Rolex 12th, 32 - Deira Twin Towers - Dubai - United Arab Emirates",Certified public accountant,https://www.google.com/maps/search/?api=1&query=Hampshire%20Accountants%20Dubai&query_place_id=ChIJWYoZUABDXz4R_Hk0tBNTsvA,18,4.8
uae-pilot-0052,Al Marona Accounting and Bookkeeping,63,Dubai,Accounting/Audit,generic_domain,https://www.almarona.com/,almarona.com,"Office# 104 Crystal Business Center, Near ADCB Metro Station - Dubai - United Arab Emirates",Accounting firm,https://www.google.com/maps/search/?api=1&query=Al%20Marona%20Accounting%20and%20Bookkeeping&query_place_id=ChIJIfcYWHZDXz4RY14OaM4Qc-Q,50,5.0
uae-pilot-0083,AMZ Consultants,63,Dubai,Accounting/Audit,ae_domain,https://www.amzconsultants.ae/,amzconsultants.ae,Dubai Real Estate - Building - Office 213 Al Mina St - Madinat Dubai Al Melaheyah - Al Mina - Dubai - United Arab Emirates,Accounting firm,https://www.google.com/maps/search/?api=1&query=AMZ%20Consultants&query_place_id=ChIJyzWYxzVDXz4Rta7jxWTYpiM,2,5.0
uae-pilot-0184,Eclipse Clinic | GP | Aesthetics | Psychology | Obstetrics & Gynecology | General Medicine | Wellness,73,Dubai,Healthcare,ae_domain,https://eclipseclinic.ae/,eclipseclinic.ae,Jumeirah Garden City - Al Satwa - Dubai - United Arab Emirates,Hospital,https://www.google.com/maps/search/?api=1&query=Eclipse%20Clinic%20%7C%20GP%20%7C%20Aesthetics%20%7C%20Psychology%20%7C%20Obstetrics%20%26%20Gynecology%20%7C%20General%20Medicine%20%7C%20Wellness&query_place_id=ChIJpbIHWstDXz4RElTexCe16wA,131,4.9
uae-pilot-0183,Ear Care Medical Center ECMC,67,Dubai,Healthcare,generic_domain,https://ecmcweb.com/,ecmcweb.com,Al Wasl Rd - opposite Al Ghazal Mall - Jumeirah - Jumeirah 1 - Dubai - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=Ear%20Care%20Medical%20Center%20ECMC&query_place_id=ChIJlzNl7v9CXz4Reo5rLIVfV8A,206,4.7
uae-pilot-0033,AL Aman Medical Centre AL Karama,63,Dubai,Healthcare,generic_domain,http://alamanmedicalcenter.com/,alamanmedicalcenter.com,Kanoo Group Building - 201 - next to ADCB Metro - Al Karama - Dubai - United Arab Emirates,Medical Center,https://www.google.com/maps/search/?api=1&query=AL%20Aman%20Medical%20Centre%20AL%20Karama&query_place_id=ChIJpyOOMWZDXz4RAnldPsB42oQ,135,4.8
